code,lon,lat,vs30,vs30_source
3401,29.00951,41.05820,596.0,1
3402,29.06223,41.06344,415.0,1
3403,28.75870,41.02646,283.0,1
3405,29.15668,40.91111,1236.0,1
3406,29.15884,41.02262,436.0,1
3407,29.00733,41.05762,595.0,3
3408,28.25569,41.07339,639.0,3
3409,28.75884,41.02651,283.0,3
3410,29.60816,41.17189,587.0,1
3411,28.97605,41.01187,323.0,1
3412,28.57821,41.02058,247.0,1
3413,28.94818,41.09433,452.0,1
3415,28.75848,41.02729,283.0,3
3416,28.83635,40.97466,420.0,1
3417,29.25627,40.95471,1747.0,1
3418,29.27546,40.81459,1182.0,1
4101,29.91721,40.76650,827.0,1
4104,29.96998,40.68038,769.0,1
4105,29.96935,40.67441,290.0,2
4106,29.45003,40.78627,701.0,1
4107,29.93244,40.76021,305.0,3
4111,29.58880,40.68440,300.0,3
4112,29.84000,40.72450,352.0,3
4113,29.73350,40.77680,300.0,3
4114,29.40776,40.86897,344.0,1
4115,29.78015,40.74328,253.0,1
4116,29.86583,40.71956,181.0,1
4119,29.52061,40.77286,884.0,1
4121,29.96985,40.72277,303.0,1
4123,29.84794,40.71515,279.0,1
4124,29.60625,40.78308,906.0,1
4125,29.91721,40.76650,826.0,3
4126,29.91485,40.76252,188.0,1
4127,29.90473,40.76087,215.0,1
4130,29.38787,40.75446,484.0,1
4131,29.92186,40.82054,445.0,1
4132,29.38130,40.83046,570.0,1
4137,29.81156,40.77678,370.0,1
4138,29.39196,40.78877,304.0,1
7701,29.30603,40.56416,388.0,1
7702,29.26680,40.58997,358.0,1
7703,29.27896,40.65056,280.0,1
7704,29.24725,40.65756,195.0,1
7705,29.27955,40.65870,261.0,1
7706,28.82662,40.51305,277.0,1
7707,29.07880,40.63810,312.0,1
7708,29.24725,40.65756,196.0,3
7709,29.30603,40.56416,382.0,1
7710,29.26680,40.58997,358.0,3
7711,29.32709,40.65942,199.0,1
7712,29.50883,40.69286,280.0,1
