Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2025,10,02,11:55:03,40.7641,27.9515,10.0,5.0,"22 km S of Marmara Ereğlisi, Turkey",1759406103
2025,07,05,11:24:21,40.7746,28.3086,10.0,3.8,"30 km SSW of Kumburgaz, Turkey",1751714661
2025,07,02,10:57:43,40.4645,29.1965,10.0,4.2,"4 km NE of Gemlik, Turkey",1751453863
2025,07,01,09:57:35,40.3824,29.1837,10.0,4.0,"3 km S of Umurbey, Turkey",1751363855
2025,05,03,08:36:55,40.8256,28.2152,10.0,3.7,"27 km SE of Marmara Ereğlisi, Turkey",1746261415
2025,04,25,17:33:16,40.8537,28.4298,10.0,4.3,"19 km SSW of Kumburgaz, Turkey",1745602396
2025,04,23,12:12:57,40.8489,28.2741,10.0,4.9,"24 km SSW of Selimpaşa, Turkey",1745410377
2025,04,23,11:50:34,40.8719,28.2722,10.0,4.0,"21 km SSW of Selimpaşa, Turkey",1745409034
2025,04,23,10:46:14,40.7814,28.3191,10.0,4.3,"29 km SSW of Kumburgaz, Turkey",1745405174
2025,04,23,10:02:33,40.8888,28.4829,10.0,5.0,"14 km S of Kumburgaz, Turkey",1745402553
2025,04,23,10:02:11,40.8412,28.4987,10.0,4.5,"19 km SSW of Gürpınar, Turkey",1745402531
2025,04,23,10:01:04,40.8471,28.2332,10.0,4.5,"25 km S of Silivri, Turkey",1745402464
2025,04,23,09:49:11,40.8342,28.1897,12.7,6.2,"24 km SE of Marmara Ereğlisi, Turkey",1745401751
2024,05,26,21:38:19,40.8178,28.3083,15.1,3.3,"26 km S of Selimpaşa, Turkey",1716759499
2024,02,27,13:09:54,40.2968,26.9768,12.0,4.2,"23 km WNW of Biga, Turkey",1709039394
2024,01,27,03:17:35,40.5159,28.8116,10.0,3.0,"16 km NNW of Mudanya, Turkey",1706325455
2023,12,17,20:53:53,40.73,29.0587,12.4,4.2,"10 km NNW of Çınarcık, Turkey",1702846433
2023,12,04,07:42:20,40.4371,28.848,10.1,5.1,"7 km NNW of Mudanya, Turkey",1701675740
2023,11,07,20:05:47,40.4965,27.5314,11.8,4.1,"10 km SSW of Marmara, Turkey",1699387547
2022,12,13,03:21:17,40.3524,27.0261,10.0,4.2,"22 km NW of Biga, Turkey",1670901677
2022,07,21,15:44:25,40.1461,27.3855,26.6,4.3,"15 km SE of Biga, Turkey",1658418265
2022,03,22,14:10:57,40.0699,28.6157,10.0,4.4,"18 km E of Mustafakemalpa?a, Turkey",1647958257
2022,02,20,20:20:11,40.769,27.404,10.0,4.4,"13 km SSW of Kumba?, Turkey",1645388411
2022,02,06,12:07:52,40.5313,28.9725,11.0,4.2,"11 km SSW of Kocadere, Turkey",1644149272
2021,06,19,12:07:52,40.9881,29.1424,9.8,3.5,"2 km ENE of Ata?ehir, Turkey",1624104472
2020,09,24,13:38:30,40.8777,28.0878,10.0,4.4,"15 km SE of Marmara Ere?lisi, Turkey",1600954710
2020,09,08,21:57:24,40.6937,27.3635,10.0,4.3,"20 km NW of Marmara, Turkey",1599602244
2020,03,08,04:21:05,40.7105,29.2313,10.0,4.4,"7 km NNW of Yalova, Turkey",1583641265
2020,01,11,13:37:37,40.9289,28.2394,10.0,4.9,"16 km S of Silivri, Turkey",1578749857
2019,10,10,16:52:03,40.7283,29.2125,10.0,4.3,"9 km NNE of Koruköy, Turkey",1570726323
2019,09,26,20:20:18,40.8151,28.1964,10.0,4.3,"26 km SE of Marmara Ere?lisi, Turkey",1569529218
2019,09,26,20:02:41,40.849,28.1699,10.0,4.5,"22 km SE of Marmara Ere?lisi, Turkey",1569528161
2019,09,26,11:26:37,40.8568,28.1814,10.0,4.4,"22 km ESE of Marmara Ere?lisi, Turkey",1569497197
2019,09,26,10:59:25,40.9035,28.1502,8.0,5.7,"17 km ESE of Marmara Ere?lisi, Turkey",1569495565
2019,09,24,08:00:24,40.8578,28.1454,10.0,4.9,"20 km SE of Marmara Ere?lisi, Turkey",1569312024
2019,06,02,13:08:47,40.7824,30.7838,5.4,4.5,"3 km ESE of Hendek, Turkey",1559480927
2019,04,12,13:03:48,40.7066,30.6426,10.0,4.4,"2 km NE of Akyaz?, Turkey",1555074228
2019,02,19,21:33:56,40.375,27.0809,10.0,4.1,"21 km NW of Biga, Turkey",1550612036
2019,01,11,16:09:57,40.1781,28.7761,10.0,3.4,"23 km SSW of Mudanya, Turkey",1547222997
2019,01,05,04:20:15,40.4257,28.357,10.0,3.7,"23 km N of Karacabey, Turkey",1546662015
2018,12,20,06:34:25,40.6063,28.9761,10.0,4.3,"5 km WSW of Kocadere, Turkey",1545287665
2018,11,30,02:36:35,40.595,28.955,10.0,4.2,"7 km WSW of Kocadere, Turkey",1543545395
2018,05,03,02:04:34,40.0364,26.8817,10.0,4.3,"14 km W of Çan, Turkey",1525313074
2017,12,31,20:12:02,40.5104,27.8564,11.8,4.3,"13 km NNE of Erdek, Turkey",1514751122
2017,07,22,22:12:32,40.1102,27.1829,6.7,4.1,"14 km SSW of Biga, Turkey",1500761552
2016,10,16,14:11:25,40.8652,30.9058,10.0,4.3,"15 km ENE of Hendek, Turkey",1476627085
2016,07,17,08:55:41,40.7118,29.18,7.4,4.2,"6 km NNE of Koruköy, Turkey",1468745741
2016,06,25,05:40:11,40.7032,29.2147,6.8,4.1,"6 km NE of Koruköy, Turkey",1466833211
2016,06,07,04:09:45,40.2627,29.146,11.5,4.4,"4 km ESE of Demirta?, Turkey",1465272585
2016,01,01,09:11:14,40.053,30.527,5.0,4.1,"5 km NW of Mihalgazi, Turkey",1451639474
2015,11,16,15:45:44,40.8751,28.7644,9.3,4.4,"14 km SSE of Yakuplu, Turkey",1447688744
2015,10,28,16:20:02,40.82,27.765,12.7,4.4,"23 km SW of Marmara Ere?lisi, Turkey",1446049202
2015,07,24,06:54:09,40.2527,26.302,11.3,4.2,"8 km NNW of Eceabat, Turkey",1437720849
2015,07,24,02:39:43,40.2844,26.266,9.7,4.8,"13 km NW of Eceabat, Turkey",1437705583
2015,07,24,01:26:00,40.248,26.297,11.6,4.4,"8 km NW of Eceabat, Turkey",1437701160
2015,01,23,10:19:42,40.065,28.587,5.0,4.2,"15 km E of Mustafakemalpa?a, Turkey",1422008382
2014,12,16,09:02:13,40.148,27.074,8.8,4.4,"12 km N of Çan, Turkey",1418720533
2014,10,22,17:11:05,40.4047,30.1188,7.6,4.3,"10 km ENE of Osmaneli, Turkey",1413997865
2014,08,03,22:22:45,40.6243,29.2073,10.0,4.0,"1 km WNW of Kad?köy, Turkey",1407104565
2014,07,16,11:59:28,40.2592,26.2392,14.0,4.0,"13 km NW of Eceabat, Turkey",1405511968
2014,07,09,23:45:02,40.4308,26.2658,14.9,4.4,"28 km NNW of Eceabat, Turkey",1404949502
2014,07,03,05:04:46,40.2083,27.9282,12.1,4.6,"16 km SSW of Band?rma, Turkey",1404363886
2014,02,05,01:56:44,41.3725,28.6327,12.0,3.8,"8 km NNW of Durusu, Turkey",1391565404
2013,11,27,04:21:35,40.8478,27.9123,7.4,4.0,"13 km SSW of Marmara Ere?lisi, Turkey",1385526095
2013,11,27,04:13:37,40.851,27.9198,9.6,4.5,"13 km SSW of Marmara Ere?lisi, Turkey",1385525617
2013,08,29,09:03:24,40.4567,29.1227,3.2,3.3,"2 km SE of Küçükkumla, Turkey",1377767004
2013,08,29,06:20:34,40.3423,27.4427,14.1,4.4,"21 km NE of Biga, Turkey",1377757234
2013,08,17,18:16:31,40.4095,29.1213,5.7,4.1,"4 km SW of Gemlik, Turkey",1376763391
2012,06,07,20:54:25,40.848,27.921,14.9,4.9,"13 km SSW of Marmara Ere?lisi, Turkey",1339102465
2012,05,04,05:38:13,40.314,26.995,11.3,4.4,"23 km WNW of Biga, Turkey",1336109893
2011,08,16,17:30:06,40.439,28.895,5.1,4.0,"7 km N of Mudanya, Turkey",1313515806
