fid,soft,deficient,n_storey,n_bay,fc,fy,rho_long,conf_ratio,r_k,col_b,col_h,beam_b,beam_h,xi,T1_s,T3_s
0,False,False,4,3,29510583.64604876,420000000.0,0.01348190034747227,1.3,1.0,0.471,0.471,0.3,0.5,0.05,0.5129,0.0849
1,False,False,3,3,30488812.768983815,420000000.0,0.01978769923642897,1.3,1.0,0.446,0.446,0.3,0.5,0.05,0.387,0.0671
2,False,False,2,3,32450861.754734747,420000000.0,0.015767720395131517,1.3,1.0,0.417,0.417,0.3,0.5,0.05,0.2832,0.0328
3,False,False,7,3,28618702.866872944,420000000.0,0.01117761345552561,1.3,1.0,0.504,0.504,0.3,0.5,0.05,0.8873,0.1546
4,False,False,5,3,25501261.633740395,420000000.0,0.014944242936525536,1.3,1.0,0.492,0.492,0.3,0.5,0.05,0.6366,0.1061
5,False,False,6,3,31100126.558442578,420000000.0,0.013207355126889803,1.3,1.0,0.513,0.513,0.3,0.5,0.05,0.7244,0.1219
6,False,False,8,3,26024872.155658096,420000000.0,0.011939253618679521,1.3,1.0,0.565,0.565,0.3,0.5,0.05,0.9689,0.1649
7,False,False,5,3,27943053.077628702,420000000.0,0.014437594907657648,1.3,1.0,0.478,0.478,0.3,0.5,0.05,0.6409,0.1085
8,False,False,5,3,26520180.61466418,420000000.0,0.017880603715015007,1.3,1.0,0.481,0.481,0.3,0.5,0.05,0.6315,0.1067
9,False,False,8,3,33774400.745158486,420000000.0,0.018869919441608943,1.3,1.0,0.575,0.575,0.3,0.5,0.05,0.8732,0.1476
10,False,False,4,3,27239798.52621195,420000000.0,0.01642839503250118,1.3,1.0,0.487,0.487,0.3,0.5,0.05,0.4982,0.0806
11,False,False,6,3,34935308.643239155,420000000.0,0.010050386963369864,1.3,1.0,0.535,0.535,0.3,0.5,0.05,0.7002,0.1152
12,False,False,2,3,31809631.891179707,420000000.0,0.018442420918487495,1.3,1.0,0.45,0.45,0.3,0.5,0.05,0.2561,0.0326
13,False,False,3,3,30322282.63041937,420000000.0,0.01694273133409622,1.3,1.0,0.409,0.409,0.3,0.5,0.05,0.4317,0.08
14,False,False,8,3,33224861.504547775,420000000.0,0.012199682548548543,1.3,1.0,0.553,0.553,0.3,0.5,0.05,0.9293,0.1595
15,False,True,4,3,24474888.810973193,220000000.0,0.010981986592775961,1.1,1.0,0.456,0.456,0.3,0.5,0.05,0.5576,0.0943
16,False,True,2,3,20570504.916781582,220000000.0,0.008379394824570187,1.1,1.0,0.418,0.418,0.3,0.5,0.05,0.3252,0.0374
17,False,True,8,3,24281026.40861629,220000000.0,0.009034685997916694,1.1,1.0,0.574,0.574,0.3,0.5,0.05,0.9947,0.168
18,False,True,6,3,17050247.276285917,220000000.0,0.012090425562024845,1.1,1.0,0.516,0.516,0.3,0.5,0.05,0.8236,0.1383
19,False,True,6,3,19099240.731333047,220000000.0,0.009879723287766885,1.1,1.0,0.51,0.51,0.3,0.5,0.05,0.8245,0.1392
20,False,True,2,3,22561114.760913767,220000000.0,0.013379733045368008,1.1,1.0,0.41,0.41,0.3,0.5,0.05,0.3163,0.0359
21,False,True,6,3,18905411.002240777,220000000.0,0.01195595157629414,1.1,1.0,0.545,0.545,0.3,0.5,0.05,0.779,0.1271
22,False,True,5,3,21724860.52821204,220000000.0,0.012554205519198565,1.1,1.0,0.491,0.491,0.3,0.5,0.05,0.6692,0.1116
23,False,True,7,3,17232755.226476815,220000000.0,0.012906236379932394,1.1,1.0,0.522,0.522,0.3,0.5,0.05,0.9527,0.1638
24,False,True,4,3,19747030.860909328,220000000.0,0.008424050920394053,1.1,1.0,0.487,0.487,0.3,0.5,0.05,0.562,0.0907
25,False,True,3,3,22915083.541264202,220000000.0,0.010574077850448746,1.1,1.0,0.429,0.429,0.3,0.5,0.05,0.451,0.0804
26,False,True,4,3,16581441.873263074,220000000.0,0.01004754494289419,1.1,1.0,0.484,0.484,0.3,0.5,0.05,0.5792,0.094
27,False,True,8,3,20871867.96853539,220000000.0,0.009485158642519856,1.1,1.0,0.6,0.6,0.3,0.5,0.05,1.0013,0.1658
28,False,True,8,3,18323417.40281781,220000000.0,0.013892005934447827,1.1,1.0,0.553,0.553,0.3,0.5,0.05,1.0393,0.1786
29,False,True,3,3,23458292.09514558,220000000.0,0.01125432817912044,1.1,1.0,0.431,0.431,0.3,0.5,0.05,0.4446,0.079
30,True,False,8,3,26871628.482265145,420000000.0,0.013841047488617506,1.3,0.4389865110989411,0.577,0.577,0.3,0.5,0.05,0.9967,0.1691
