filename,sha256,bytes
A.487.00.HNN.D.TK-1999-0415.ACC.CV.ASC,2a947980cb67407fc4f96ec42f31b6a27bfeaad366a1a822c515a54a7d536157,294784
A.496.00.HNN.D.TK-1999-0415.ACC.CV.ASC,b8da7b1023207958afad7339b695c68997c84c9a502c27011836a0d945bac1a5,82033
A.498.00.HNN.D.TK-1999-0415.ACC.CV.ASC,5dec1094fcf893e3c0c1c39debe969cc00b6f88c654b6db1a827cfd7583f4bbc,154558
A.C0362.00.HNN.D.TK-1999-0415.ACC.CV.ASC,a30daedc1b26b5c32b25ee50da55ed32b1db3098e3b03c2491b274834c7534c8,43776
A.C0375.00.HNN.D.TK-1999-0415.ACC.CV.ASC,30324c4bb8b93fe1b9fe9345667027ad11c6d6953cb941b6bf44d2ecc94810e2,45455
A.C1058.00.HNE.D.TK-1999-0415.ACC.CV.ASC,2bdb63c7bbae5ac471b8ffab9cb44a15313ba410dd349e3a194bb7498e3562b2,39517
A.C1059.00.HNN.D.TK-1999-0415.ACC.CV.ASC,0380ee5d333d18919a72b8864d2c8993df2df55389a1e9962a7fec76f8594fee,42613
A.C1060.00.HNE.D.TK-1999-0415.ACC.CV.ASC,747c04e547786817989fecf8e88ba3c79b6265587733c27e2be65602480a3a8f,44094
A.C1061.00.HNE.D.TK-1999-0415.ACC.CV.ASC,720d3ca5489ea9bb7341e19c86319b6829a02af1d73b426e1a741ae8377005b2,44238
A.C1062.00.HNE.D.TK-1999-0415.ACC.CV.ASC,e633ffed80b930c7e4aef22344a7d5294fcf4b4f9b6698e54a1b6ea17ec66449,44099
A.D0531.00.HNN.D.TK-1999-0415.ACC.CV.ASC,ee58b73925724752070d0977b951af57ec8e0cc5de5262f3c7b51996e044d919,43178
A.YPT.00.HNN.D.TK-1999-0077.ACC.CV.ASC,586d360cff72be4c82549e8857a9cd893576aa0ee7b7ead8184ee45a5244837d,266762
KO.AKS..HNN.D.INT-20250810_0000200.ACC.CV.ASC,977aa533d2f8753a620394a91a89749911609a6d5c9f834ab774632a0f1bf0dc,288978
KO.BALB..HNE.D.INT-20250810_0000200.ACC.CV.ASC,b7c75955282851c80851179d734154a1533ccd537fb22b16f5c902262bb52acf,287533
KO.GOMA..HNE.D.EMSC-20200122_0000127.ACC.CV.ASC,8dfb49af6abc4c95ca7d82b60176d1df0a2f16cf7807f53a3464b0fff46068f4,278223
KO.GORD..HNN.D.INT-20250810_0000200.ACC.CV.ASC,b601ee77eb271ee9004e6118028db66639be3903ec33fbf6139cb7eb5370e69e,292550
KO.SOMA..HNN.D.EMSC-20200122_0000127.ACC.CV.ASC,2865121aa77f8a4577274370403fc8fb94b98b3fe0e7f4b57b932eaaff8daf06,284603
KO.SOMA..HNN.D.INT-20250810_0000200.ACC.CV.ASC,6b6f1dd0663a805a1766a984aeb39663526db67004c2e452caa9e2aa3a9ca566,291926
TK.1401.00.HNE.D.TK-1999-0415.ACC.CV.ASC,dc0e1e7cfa060db8aaa7550099a2bb6fe1676afee70924a42d001579f6c59802,58085
TK.1406.00.HNN.D.TK-1999-0415.ACC.CV.ASC,7f4536af50f9ee69eebd846552550e480e4edbda153455363cdf28a77c612475,59825
TK.1612.00.HNE.D.TK-1999-0077.ACC.CV.ASC,07daafd3ccd8fe96bc57c96c952d37875807b1d23fb1c4664cd11714339127dc,108891
TK.1612.00.HNE.D.TK-1999-0294.ACC.CV.ASC,8d99ca05779d6a877cd8c29c8852991904f331a78886ffdaef3cfe8de5b7a8bf,56531
TK.1701.00.HNN.D.TK-2003-0179.ACC.CV.ASC,6814b45737b660266cbfd3c361380d28d69f92cc03ac16fb0b5f32f5eddf29e3,88694
TK.4101.00.HNE.D.TK-1999-0077.ACC.CV.ASC,1f0a93c0d71d0beefcb2e874775c81d367906fd51466eeb7d5e64cef3de917ae,107163
TK.4101.00.HNE.D.TK-1999-0294.ACC.CV.ASC,4614258187ee04245efb074e0def65afe7a5c697b66fd5779a17180e247b72d8,39433
TK.4106.00.HNN.D.TK-1999-0077.ACC.CV.ASC,49102f1ce56c60f7b5d2f42cbd86db8869a8b035d7c424bdb4676b96e132f602,96930
TK.4107.00.HNE.D.TK-1999-0294.ACC.CV.ASC,3719e73e9d885d0156074ccc6834475500074789f728a5bea90a80b28fd580bd,214931
TK.5401.00.HNE.D.TK-1999-0077.ACC.CV.ASC,a577baa496be595ff504cb416ae7e1dd30712c4e3b7bff7ea09b48c50aceac64,374048
TK.5401.00.HNE.D.TK-1999-0294.ACC.CV.ASC,5ac3bc25041864ed10b9b9dcd8abafad6c6577ccf9a2006b80b9f9d6108c4717,100958
TK.8101.00.HNE.D.TK-1999-0415.ACC.CV.ASC,4985b98610d8488b6f159aa0ae4e4a82f17a76e2bd73e4817b61e14f64087027,56251
