fid,soft,deficient,n_storey,fc_MPa,rho_long,r_k,T1_s,T_star_s,Gamma,m_star_kg,V_max_N,D_max_m,U_Y_m,F_Y_N,U_M_m,F_E_N,q,mu,Sa_yield_g,Sd_yield_m,Sae_star_g,ag_g,soil,status
0,False,False,4,29.51,0.0134819003474722,1.0,0.5129,0.7275166418557086,1.2718063728348763,160153.9315744614,612691.8834076029,0.9101250000000006,0.03831099912991942,457651.56845220295,0.7156160084111843,1489582.0786412621,3.254838792925133,18.67912674332515,0.2913913630827823,0.03831099912991942,0.9484319124851723,0.4,C,ok
1,False,False,3,30.49,0.0197876992364289,1.0,0.387,0.5491342717461406,1.2525162739364237,125295.30907948449,859091.9769361422,0.8774999999999867,0.03881080143362692,636634.3407345784,0.7005896995191678,1413036.3292019754,2.219541483689912,18.05141026828048,0.518125030980797,0.03881080143362692,1.15,0.4,C,ok
2,False,False,2,32.45,0.0157677203951315,1.0,0.2832,0.4129915746865578,1.2006105072914088,91536.16086831866,644589.8943574806,0.40912500000000035,0.024840946556781818,526305.8377158388,0.34076413417619594,1032312.5557761916,1.9614309433777442,13.717840155457525,0.5863066471356907,0.024840946556781818,1.15,0.4,C,terminated
3,False,False,7,28.62,0.0111776134555256,1.0,0.8873,1.2531345916406895,1.2859963099254916,269501.6159718354,472881.43177250726,0.7454999999999967,0.05168413416547857,350173.2110456354,0.5797061735295257,1455235.9718829938,4.155760423641728,11.216327464700557,0.1324954209889016,0.05168413416547857,0.5506192268594268,0.4,C,terminated
4,False,False,5,25.5,0.0149442429365255,1.0,0.6366,0.8954144761047089,1.2803107002003133,195831.8637409427,661377.6598845427,0.9137499999999914,0.05051107724739934,487058.920658985,0.7136939493335711,1479888.5571826207,3.0384179293551363,14.129454136128468,0.2536164792510525,0.05051107724739934,0.7705928577363228,0.4,C,ok
5,False,False,6,31.1,0.0132073551268898,1.0,0.7244,1.0200824554038401,1.2854004881069145,231515.31492791642,592265.7703957944,1.1302499999999962,0.04925931017959839,432670.44619385863,0.8792979390139973,1535727.6848222322,3.5494166480096196,17.850390835927175,0.19057100779602526,0.04925931017959839,0.676415907699183,0.4,C,ok
6,False,False,8,26.02,0.0119392536186795,1.0,0.9689,1.3773039704013335,1.2927426503883728,302007.59963985696,538941.3399194579,1.1200000000000008,0.061691068531530946,387739.7286018737,0.8663750667339121,1483740.1144209183,3.826639379387414,14.043768204324403,0.13091872129790344,0.061691068531530946,0.5009787344176031,0.4,C,terminated
7,False,False,5,27.94,0.0144375949076576,1.0,0.6409,0.8961664927499549,1.2785559658424999,196795.9597736659,617054.8140612432,0.891249999999992,0.04723776078364483,456970.1305566475,0.6970754693657121,1485926.2079356709,3.2516921973119435,14.75674244082842,0.23678324062708161,0.04723776078364483,0.7699462160013176,0.4,C,ok
8,False,False,5,26.52,0.017880603715015,1.0,0.6315,0.8818166425638774,1.278826153224945,196658.1778218857,762198.2146659729,0.5037500000000003,0.05764755602456528,575567.2381639661,0.3939159351172503,1509049.5010521787,2.6218474593272187,6.833176673602457,0.2984443621491789,0.05764755602456528,0.7824755926513571,0.4,C,terminated
9,False,False,8,33.77,0.0188699194416089,1.0,0.8732,1.252899209218427,1.2937749157063354,301242.3046150928,858295.2267364804,0.8560000000000006,0.08473022378873585,641921.2923944239,0.6616297700691377,1626932.7166337266,2.5344738302185337,7.808663077756389,0.21729270400673456,0.08473022378873585,0.5507226718024907,0.4,C,terminated
10,False,False,4,27.24,0.0164283950325011,1.0,0.4982,0.7111925051184135,1.2739636450460003,159190.64360836236,774173.6137024324,1.1980000000000008,0.04570722259650506,567920.78712627,0.9403722034444267,1514607.607076221,2.6669346173086406,20.57382072294918,0.36378898985079733,0.04570722259650506,0.970201450428833,0.4,C,ok
11,False,False,6,34.94,0.0100503869633698,1.0,0.7002,1.009383066233989,1.2882457357002497,229763.1290371405,494406.9818470747,1.1624999999999948,0.04071298185880201,362460.7262619332,0.9023899460983633,1540260.1833487928,4.249454000805923,22.16467340142195,0.16086440008279232,0.04071298185880201,0.6835858685190666,0.4,C,ok
12,False,False,2,31.81,0.0184424209184874,1.0,0.2561,0.37870514252440074,1.2031488808070363,90408.36159954347,900747.3020173114,0.6000000000000004,0.02881417371387468,717087.4150517331,0.49869140018443797,1019593.6331721873,1.4218540330939016,17.30715602454728,0.8088031353666049,0.02881417371387468,1.15,0.4,C,ok
13,False,False,3,30.32,0.0169427313340962,1.0,0.4317,0.5972608386203094,1.2476277968789482,127245.10969102566,626774.6688764668,0.5189999999999997,0.03334540314793277,469579.0686609588,0.41598944917572717,1435025.493194221,3.055982663976714,12.475166286946397,0.37631103525421133,0.03334540314793277,1.15,0.4,C,ok
14,False,False,8,33.22,0.0121996825485485,1.0,0.9293,1.3360827305362049,1.2915809187385163,302963.75865155493,546904.8992790917,1.2080000000000009,0.058739834219641796,393564.96627610683,0.9352878959994634,1534359.391342223,3.898617821246284,15.922549125729672,0.13246619950785257,0.058739834219641796,0.5164350861140798,0.4,C,ok
15,False,True,4,24.47,0.0109819865927759,1.0,0.5576,0.6632126098712579,1.269784773396575,161088.01715030707,297929.2997173293,0.4240000000000003,0.015420646493536694,222956.43108019046,0.33391485618923705,1643539.806260112,7.3715738913536075,21.653752086800765,0.1411354435805301,0.015420646493536694,1.0403903510428458,0.4,C,ok
16,False,True,2,20.57,0.0083793948245701,1.0,0.3252,0.36330034161014474,1.2008528526473836,91438.70239678252,234079.8625563794,0.2570000000000002,0.00679495034389227,185842.25476369663,0.21401456426024348,1031213.4534883182,5.548864303220673,31.496118945536267,0.20724961670670458,0.00679495034389227,1.15,0.4,C,ok
17,False,True,8,24.28,0.0090346859979166,1.0,0.9947,1.3049585082754758,1.2936612772385987,301228.9144578317,262082.86279056408,0.5440000000000004,0.02782509564333413,194312.01376380114,0.4205119296460682,1561959.3232366322,8.038408397821943,15.112685865890542,0.06577825079241387,0.02782509564333413,0.5287524435637776,0.4,C,ok
18,False,True,6,17.05,0.0120904255620248,1.0,0.8236,1.0180911468150575,1.2857011288292972,231343.84474214324,322933.2920846236,0.32700000000000023,0.026765955502807498,235845.24002801607,0.2543359359867344,1537591.8003757454,6.519494733890304,9.502217694416212,0.10395574400446919,0.026765955502807498,0.6777389255947853,0.4,C,ok
19,False,True,6,19.1,0.0098797232877668,1.0,0.8245,1.0228668546832551,1.2850578535765278,231729.88308005998,274371.33997826366,0.3720000000000003,0.023020028890082478,201284.08231085847,0.28948113033562106,1532966.6366415184,7.615935741376908,12.575185362184135,0.08857409299941424,0.023020028890082478,0.674574600634281,0.4,C,ok
20,False,True,2,22.56,0.013379733045368,1.0,0.3163,0.38226071136929574,1.1999579270818452,91790.52564842686,329466.9252160778,0.2690000000000002,0.010484820076296641,260015.50637360197,0.22417452639708474,1035181.192102667,3.981228683397336,21.380865362094582,0.2888555497441711,0.010484820076296641,1.15,0.4,C,ok
21,False,True,6,18.91,0.0119559515762941,1.0,0.779,0.9751139568331425,1.2894361618361985,229101.94940524994,340763.69060471596,0.45900000000000035,0.026158142602772938,248819.6525010621,0.355969542025539,1589802.5100654121,6.3893767798692105,13.608364608724315,0.11074782838886355,0.026158142602772938,0.7076096031287448,0.4,C,ok
