fid,rid,level,soft,deficient,midr_sim,midr_pred,ds_true,ds_pred
0,TK-1999-0077_YPT_HNN,4,False,False,0.0616310086870169,0.03820048880958844,4,3
0,TK-1999-0077_YPT_HNN,5,False,False,0.1,0.0733084283343691,4,4
0,TK-1999-0077_1612_HNE,0,False,False,0.0004682736908675,0.0004452111245925405,0,0
0,TK-1999-0077_1612_HNE,1,False,False,0.0016483306768766,0.0016934324276794662,0,0
0,TK-1999-0077_YPT_HNN,0,False,False,0.0004788636916081,0.0004453044996094266,0,0
0,TK-1999-0077_YPT_HNN,1,False,False,0.0025519553473223,0.0013711161051584621,0,0
0,TK-1999-0077_YPT_HNN,2,False,False,0.0098057755505198,0.0039061717701241983,1,0
0,TK-1999-0077_YPT_HNN,3,False,False,0.0205179625360469,0.009108900969677624,2,2
0,TK-1999-0077_4101_HNE,0,False,False,0.0004672541029987,0.0005052487847874394,0,0
0,TK-1999-0077_4101_HNE,1,False,False,0.0028439375789151,0.0019331576863562028,0,0
0,TK-1999-0077_4101_HNE,2,False,False,0.0057269097949471,0.005299731809682887,1,0
0,TK-1999-0077_4101_HNE,3,False,False,0.0135054906361556,0.011458938213188002,2,2
0,TK-1999-0077_1612_HNE,2,False,False,0.0057791469949752,0.003432480298683633,1,0
0,TK-1999-0077_1612_HNE,3,False,False,0.0203279329457055,0.007064904762866123,2,1
0,TK-1999-0077_1612_HNE,4,False,False,0.0327801726875933,0.013944822621001279,3,2
0,TK-1999-0077_1612_HNE,5,False,False,0.0924495248948085,0.03896404436085371,4,3
0,TK-1999-0077_4101_HNE,4,False,False,0.0338345989656855,0.03441323665600984,3,3
0,TK-1999-0077_4101_HNE,5,False,False,0.1,0.08252906085917686,4,4
0,TK-1999-0077_4106_HNN,0,False,False,0.0004608843143088,0.0004905474027959991,0,0
0,TK-1999-0077_4106_HNN,1,False,False,0.0012597352285721,0.0020566478819129008,0,0
0,TK-1999-0077_4106_HNN,2,False,False,0.0038374115341448,0.007855568188471931,0,2
0,TK-1999-0077_4106_HNN,3,False,False,0.0057823703371954,0.01815375399422075,1,2
0,TK-1999-0077_4106_HNN,4,False,False,0.0182795592003717,0.0414567218166226,2,3
0,TK-1999-0077_4106_HNN,5,False,False,0.0375142896477835,0.10060080240467334,3,4
0,TK-1999-0077_5401_HNE,0,False,False,0.0005024483726122,0.0005474773129088262,0,0
0,TK-1999-0077_5401_HNE,1,False,False,0.0014562347900645,0.002811813620305968,0,0
0,TK-1999-0077_5401_HNE,2,False,False,0.004155894314769,0.00849231096484395,0,1
0,TK-1999-0077_5401_HNE,3,False,False,0.0130636894595552,0.019411298383266763,2,2
0,TK-1999-0077_5401_HNE,4,False,False,0.0319114743317138,0.0516602592064996,3,4
0,TK-1999-0077_5401_HNE,5,False,False,0.0909379787228808,0.06875667145841571,4,4
0,TK-1999-0415_487_HNN,0,False,False,0.0004639043281896,0.0004214745509114972,0,0
0,TK-1999-0415_487_HNN,1,False,False,0.0015224334383236,0.001331013507047902,0,0
0,TK-1999-0415_487_HNN,2,False,False,0.0037169522701116,0.002843084129112878,0,0
0,TK-1999-0415_487_HNN,3,False,False,0.0047214615355013,0.00413475776372379,0,0
0,TK-1999-0415_487_HNN,4,False,False,0.0098643104931578,0.0068778378818980706,1,1
0,TK-1999-0415_487_HNN,5,False,False,0.0155918409155753,0.012698638002361958,2,2
0,TK-1999-0415_496_HNN,0,False,False,0.0005513459139239,0.0004966082470048654,0,0
0,TK-1999-0415_496_HNN,1,False,False,0.002134930786649,0.002036748059317932,0,0
0,TK-1999-0415_496_HNN,2,False,False,0.0107956069916087,0.00587232433041392,1,1
0,TK-1999-0415_496_HNN,3,False,False,0.0169986623025026,0.010340218240018009,2,2
0,TK-1999-0415_496_HNN,4,False,False,0.0200527619615643,0.018305936774264297,2,2
0,TK-1999-0415_496_HNN,5,False,False,0.0350589033347292,0.034278309658988905,3,3
0,TK-1999-0415_498_HNN,0,False,False,0.0004729919561768,0.00048388213667468496,0,0
0,TK-1999-0415_498_HNN,1,False,False,0.0014777895859227,0.0017073664608796765,0,0
0,TK-1999-0415_498_HNN,2,False,False,0.0029493544343664,0.004183668216280904,0,1
0,TK-1999-0415_498_HNN,3,False,False,0.0070977379674115,0.0069457309818452585,1,1
0,TK-1999-0415_498_HNN,4,False,False,0.01193456612,0.015403497006002064,1,2
0,TK-1999-0415_498_HNN,5,False,False,0.0286506840043943,0.031203886784576983,2,2
0,TK-1999-0415_C0362_HNN,0,False,False,0.0004725734293473,0.0004260890653302281,0,0
0,TK-1999-0415_C0362_HNN,1,False,False,0.0020784032066021,0.0013812017506300458,0,0
0,TK-1999-0415_C0362_HNN,2,False,False,0.0096596189682603,0.003274996701585307,1,0
0,TK-1999-0415_C0362_HNN,3,False,False,0.0159723869129273,0.006025152218042697,2,1
0,TK-1999-0415_C0362_HNN,4,False,False,0.0349392741254194,0.011887121432692955,3,1
0,TK-1999-0415_C0362_HNN,5,False,False,0.0931657594015952,0.020970332894387753,4,2
0,TK-1999-0415_C0375_HNN,0,False,False,0.0004498008940535,0.0004837235748850493,0,0
0,TK-1999-0415_C0375_HNN,1,False,False,0.0010371861901649,0.001555018306213114,0,0
0,TK-1999-0415_C0375_HNN,2,False,False,0.0018989315837789,0.003828293181673368,0,0
0,TK-1999-0415_C0375_HNN,3,False,False,0.0055443147588033,0.007052218008300488,1,1
0,TK-1999-0415_C0375_HNN,4,False,False,0.0133458484642407,0.013607380184624982,2,2
0,TK-1999-0415_C0375_HNN,5,False,False,0.0207074716294593,0.023785054431423758,2,2
0,TK-1999-0415_C1058_HNE,0,False,False,0.0004623472173659,0.00045075364481216566,0,0
0,TK-1999-0415_C1058_HNE,1,False,False,0.0014385077503297,0.001807545082775525,0,0
0,TK-1999-0415_C1058_HNE,2,False,False,0.0036361404993607,0.005895992558654481,0,1
