feature,mean_abs_shap_dex,corr_feature_vs_shap
pga_scaled_g,0.3249528,0.6698924578472438
sa_t1_g,0.241384,0.8585741498473242
T1_s,0.07678666,0.9234991865039996
vs30,0.060560748,-0.1515137270541333
mw,0.055439584,0.7207956398185089
rjb_km,0.049369033,-0.023828958275574335
sa_ratio,0.033560243,-0.769882500624214
fc_MPa,0.016778758,-0.7723662461411466
rho_long,0.013337376,-0.8321214930022783
n_storey,0.010558084,0.35508013006851435
r_k,0.0040430655,-0.17486667819071375
deficient_i,0.0021234816,0.7596806817509844
soft_i,0.0007263917,0.7726962665458943
